title,active,actions_json
FTS - WISMO Tracking Request,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_wismo status_tracking""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nThanks for reaching out. Please share your order number so support can pull tracking.\nOrders ship in 1–2 business days. No weekend shipping.\nOnce shipped, tracking lives in your shipping email. Search your inbox for “Your order has shipped”.\nIf tracking is missing, reply with your order number and the email used at checkout.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Delivery Delayed Apology,True,"[{""field"": ""status"", ""value"": ""open""}, {""field"": ""current_tags"", ""value"": ""intent_wismo issue_delay""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nSorry about the delay. Tracking shows a carrier delay on this shipment.\nPlease share your order number so support can confirm the latest scan and expected delivery date.\nIf delivery does not update within 24 hours, support will follow up with next steps.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Missing Item,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_order_issue issue_missing_item""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nSorry about the missing item. Please reply with:\n1) Order number\n2) A photo of everything received in the box\n3) A photo of the packing slip, if available\nAfter review, support will line up a replacement or a refund.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Damaged Packaging,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_order_issue issue_damaged""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nSorry about the condition of the delivery. Please reply with:\n1) Order number\n2) A clear photo of the damage\n3) A photo of the shipping label\nAfter review, support will line up a replacement or a refund.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Incorrect Order Received,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_order_issue issue_wrong_order""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nSorry about the mix-up. Please reply with:\n1) Order number\n2) A photo of the items received\n3) A photo of the packing slip, if available\nAfter review, support will send the correct items or process a refund.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Cold Packs Melted,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_refund_replace issue_cold_pack""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nSorry about the cold packs. Please reply within 48 hours of delivery with:\n1) Order number\n2) Photos of the cold packs and product inside the box\n3) A photo of the shipping label\nAfter review, support will line up a replacement or a refund.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Arrived Thawed,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_refund_replace issue_thawed""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nSorry about the thawed delivery. For food safety, please do not eat product after a full thaw.\nPlease reply within 48 hours of delivery with:\n1) Order number\n2) Photos of product and packaging inside the box\n3) A photo of the shipping label\nAfter review, support will line up a replacement or a refund.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Refund Approved,True,"[{""field"": ""status"", ""value"": ""solved""}, {""field"": ""current_tags"", ""value"": ""intent_refund_replace action_refund""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nRefund approved.\nRefund returns to the original payment method. Most banks post refunds within 3–10 business days.\nReply to this message if anything looks off after posting.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Replacement Approved,True,"[{""field"": ""status"", ""value"": ""open""}, {""field"": ""current_tags"", ""value"": ""intent_refund_replace action_replace""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nReplacement approved.\nPlease reply to confirm the shipping address for this order.\nOnce confirmed, support ships the replacement in 1–2 business days. No weekend shipping.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Request More Info for Damage/Thaw,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_refund_replace needs_info""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nThanks for the details. Support still needs:\n1) Order number\n2) Delivery date\n3) Photos of product and packaging\n4) Photo of the shipping label\nPlease send within 48 hours of delivery for replacement or refund eligibility.\nThanks,\nFernando’s Tamale Shop Support""}]"
FTS - Ingredients and Allergens,True,"[{""field"": ""status"", ""value"": ""pending""}, {""field"": ""current_tags"", ""value"": ""intent_product_questions topic_allergens""}, {""field"": ""comment_mode_is_public"", ""value"": true}, {""field"": ""comment_value"", ""value"": ""Hi {{ticket.requester.first_name}},\nWhich product is this question about?\nReply with the product name and allergens to avoid, for example dairy, gluten, eggs, or nuts.\nSupport will confirm ingredients and allergen handling for the item.\nThanks,\nFernando’s Tamale Shop Support""}]"
